id,		target, 	text,			milestones
1,		A,			Aを入力,  		"5|10|50|100"
2,		B,			Bを入力,  		"5|10|50|100"
3,		C,			Cを入力,  		"5|10|50|100"
4,		D,			Dを入力,  		"5|10|50|100"
5,		E,			Eを入力,  		"5|10|50|100"
6,		F,			Fを入力,  		"5|10|50|100"
7,		G,			Gを入力,  		"5|10|50|100"
8,		H,			Hを入力,  		"5|10|50|100"
9,		I,			Iを入力,  		"5|10|50|100"
10,		J,			Jを入力,  		"5|10|50|100"
11,		K,			Kを入力,  		"5|10|50|100"
12,		L,			Lを入力,  		"5|10|50|100"
13,		M,			Mを入力,  		"5|10|50|100"
14,		N,			Nを入力,  		"5|10|50|100"
15,		O,			Oを入力,  		"5|10|50|100"
16,		P,			Pを入力,  		"5|10|50|100"
17,		Q,			Qを入力,  		"5|10|50|100"
18,		R,			Rを入力,  		"5|10|50|100"
19,		S,			Sを入力,  		"5|10|50|100"
20,		T,			Tを入力,  		"5|10|50|100"
21,		U,			Uを入力,  		"5|10|50|100"
22,		V,			Vを入力,  		"5|10|50|100"
23,		W,			Wを入力,  		"5|10|50|100"
24,		X,			Xを入力,  		"5|10|50|100"
25,		Y,			Yを入力,  		"5|10|50|100"
26,		Z,			Zを入力,  		"5|10|50|100"
